period,wrk2id,wrk1id,w1,w2,e1,e2,pubwage
22,101,116,1,3,2,0,0
22,102,109,0,3,0,2,0
22,115,111,2,2,2,1,0
22,110,107,0,4,0,0,0
23,102,109,3,0,3,0,0
23,110,116,3,0,0,0,0
23,101,113,1,2,1,0,0
23,108,107,0,4,0,2,0
23,112,105,1,3,0,3,0
23,115,111,0,0,0,0,0
24,112,105,1,3,2,3,0
24,115,107,1,0,0,0,0
24,102,113,1,2,1,1,0
24,110,109,0,4,0,0,0
24,101,116,1,3,2,0,0
24,108,111,0,4,1,3,0
25,108,113,1,3,1,1,0
25,112,105,0,0,0,1,0
25,110,107,1,2,0,0,0
25,101,109,0,4,0,0,0
25,102,111,0,0,0,0,0
25,115,116,0,4,0,0,0
26,102,111,2,2,1,1,1
26,101,107,1,2,0,0,1
26,108,116,2,2,2,1,1
26,112,105,0,4,0,3,1
26,115,109,2,2,2,1,1
26,110,113,1,2,0,0,1
27,112,111,1,3,0,3,1
27,115,113,1,1,1,0,1
27,101,105,2,2,3,0,1
27,110,107,0,4,0,0,1
27,108,109,2,2,3,1,1
27,102,116,3,1,2,0,1
28,101,109,1,2,1,0,1
28,115,107,2,0,0,0,1
28,112,105,1,2,1,3,1
28,110,116,0,4,0,0,1
28,102,111,2,2,1,1,1
28,108,113,1,3,0,1,1
29,115,107,2,2,0,0,1
29,102,111,1,1,1,0,1
29,112,116,1,2,2,2,1
29,101,105,0,3,0,0,1
29,110,113,2,2,0,0,1
29,108,109,0,4,0,2,1
30,110,111,1,3,0,0,1
30,101,105,1,0,0,0,1
30,112,116,1,2,0,1,1
30,108,109,0,4,0,1,1
30,102,113,2,2,0,1,1
30,115,107,0,4,0,0,1
1,81,92,1,1,1,3,1
1,87,84,2,2,2,3,1
1,89,90,1,2,1,2,1
1,83,86,1,2,0,2,1
2,89,84,1,1,1,1,1
2,81,86,1,3,0,3,1
2,83,92,2,2,1,0,1
2,87,90,1,2,2,3,1
3,81,86,1,1,0,2,1
3,87,90,2,2,1,3,1
3,83,84,2,1,2,0,1
3,89,92,1,2,0,3,1
4,81,84,1,1,0,3,1
4,89,92,0,3,0,3,1
4,83,86,1,3,0,3,1
4,87,90,2,2,2,3,1
5,89,84,1,1,0,2,1
5,83,90,0,2,1,1,1
5,87,92,0,4,0,3,1
5,81,86,1,2,0,2,1
6,87,92,1,1,1,0,1
6,89,90,2,2,2,3,1
6,83,84,3,1,3,0,1
6,81,86,2,2,0,2,1
7,89,86,1,1,0,0,1
7,83,92,2,2,2,2,1
7,81,84,0,3,0,3,1
7,87,90,1,2,0,3,1
8,87,92,0,1,0,0,1
8,81,90,1,2,0,3,1
8,89,84,1,3,1,3,1
8,83,86,0,2,0,1,1
9,87,90,1,2,1,3,1
9,81,86,2,2,1,3,1
9,83,92,1,3,1,3,1
9,89,84,1,2,1,2,1
10,89,86,1,2,0,2,1
10,81,90,0,2,0,3,1
10,83,84,1,3,0,3,1
10,87,92,1,3,1,3,1
11,81,86,1,1,0,2,0
11,87,92,0,2,0,3,0
11,83,90,1,3,2,3,0
11,89,84,1,3,1,3,0
12,89,84,1,1,0,0,0
12,87,92,0,1,0,0,0
12,81,86,1,3,0,3,0
12,83,90,1,2,2,0,0
13,81,84,0,2,0,3,0
13,83,92,0,2,0,1,0
13,87,86,0,2,0,3,0
13,89,90,1,2,1,2,0
14,81,84,1,2,2,2,0
14,89,92,0,2,0,2,0
14,87,86,2,2,0,3,0
14,83,90,1,3,0,3,0
15,81,84,1,2,1,1,0
15,87,86,2,2,1,3,0
15,89,92,0,3,0,3,0
15,83,90,0,4,1,3,0
16,81,90,1,1,2,2,0
16,89,84,0,2,0,2,0
16,87,92,1,2,1,3,0
16,83,86,0,4,0,3,0
17,83,86,2,2,0,0,0
17,81,92,0,2,0,2,0
17,87,84,1,3,1,3,0
17,89,90,1,3,1,3,0
18,89,86,0,2,0,2,0
18,87,84,0,2,1,3,0
18,83,92,1,2,1,0,0
18,81,90,1,3,3,3,0
19,83,86,1,1,0,0,0
19,81,92,0,2,0,2,0
19,87,90,1,3,0,3,0
19,89,84,1,3,1,3,0
20,89,92,1,1,1,0,0
20,83,86,0,2,0,2,0
20,81,90,0,3,1,3,0
20,87,84,0,4,1,3,0
21,89,86,1,1,0,0,0
21,81,92,0,2,0,2,0
21,83,84,0,3,0,3,0
21,87,90,1,3,2,3,0
22,81,92,0,0,0,0,0
22,87,90,1,2,1,3,0
22,83,86,1,2,0,1,0
22,89,84,1,3,0,3,0
23,87,90,1,1,0,0,0
23,81,86,1,2,0,2,0
23,83,84,0,2,0,0,0
23,89,92,0,0,0,0,0
24,89,92,0,0,0,0,0
24,87,84,1,2,0,3,0
24,83,86,1,3,0,3,0
24,81,90,1,3,1,3,0
25,81,86,0,0,0,0,0
25,89,84,0,2,0,3,0
25,83,92,0,3,1,3,0
25,87,90,1,3,2,3,0
26,89,90,1,1,1,1,1
26,81,84,2,2,3,2,1
26,87,86,0,3,0,3,1
26,83,92,1,3,0,3,1
27,87,86,1,1,0,0,1
27,83,84,1,3,1,3,1
27,81,90,1,3,0,3,1
27,89,92,1,2,0,2,1
28,89,84,1,1,1,0,1
28,83,92,1,3,0,0,1
28,87,86,0,3,0,0,1
28,81,90,1,3,0,3,1
29,87,84,0,1,0,0,1
29,89,86,2,2,0,3,1
29,83,92,1,3,1,0,1
29,81,90,0,3,2,3,1
30,87,90,0,0,1,0,1
30,89,86,0,3,0,3,1
30,83,84,0,3,0,0,1
30,81,92,0,3,0,3,1
1,66,68,1,2,1,2,0
1,64,71,1,2,2,0,0
1,65,62,1,2,2,2,0
1,67,72,1,1,0,0,0
2,66,62,1,3,1,2,0
2,67,72,2,1,0,0,0
2,65,68,1,3,2,3,0
